region_index,census_tracts_geoids
413,53065950102
95,"53029992201,53031950302,53031950400,53031950501,53031950602,53031950603,53031950604"
273,53077002701
144,"53061053101,53061053400,53061053508,53061053510"
338,53025010100
343,53047970303
88,"53041971200,53041971300"
309,"53025010401,53025010402"
58,53041971502
459,"53003960300,53003960400,53003960500,53003960600"
47,53069950100
17,53049950502
292,53025011404
142,"53033021702,53033021802,53033021803,53033021804,53033021903,53033021904,53033021905,53033021906,53033022001,53033022003,53033022102,53033022201,53033022204,53033032307,53033032311,53033032319,53033032320,53033032321,53033032322,53033032326,53061041202,53061041400,53061041500,53061041601,53061041605,53061041606,53061041607,53061041609,53061041610,53061041701,53061041704,53061041805,53061041808,53061041814,53061051912,53061051916,53061051918,53061051921,53061051922,53061051926,53061051933,53061051934,53061051935,53061051936,53061051937,53061051938,53061052004,53061052005,53061052006,53061052007,53061052008,53061052009,53061052010,53061052105,53061052107,53061052108,53061052112,53061052113,53061052114,53061052119,53061052120,53061052121,53061052122,53061052204,53061052211,53061052302,53061052401,53061052402,53061052502"
71,"53015000400,53015000501,53015000601,53015000602,53015000702,53015000703,53015000705,53015000706,53015000801,53015000802,53015000902,53015001900,53015002001,53015002100"
29,"53049950301,53049950801"
156,"53033031501,53033031603,53033032003,53033032705"
289,"53005011701,53005011702,53077001901,53077001902"
436,"53063000900,53063001000,53063003601,53063003800,53063010401,53063013501,53063013600,53063013700,53063013800,53063013900,53063014001,53063014002"
274,"53077001802,53077002003,53077002004,53077002005,53077002006,53077002103"
435,53063014200
290,"53005011802,53077001801"
76,"53045960201,53045960301,53045960500,53045961200"
97,"53055960501,53055960502"
466,53051970500
127,"53029971700,53029972000,53061040900,53061041201,53061053102,53061053202,53061940002,53061990002"
74,"53067010520,53067010910,53067010920,53067011000,53067011810,53067011822,53067012730"
118,53011040101
75,"53045960600,53045960700,53045960800,53045960900,53045961000,53045961102,53067010510,53067010600,53067011100,53067011901,53067011902,53067012001,53067012002"
155,53033031400
60,53027000502
65,"53009001400,53009001600,53009001701,53009001702,53009001800"
332,"53005010100,53005010203,53005010600,53005010809,53005010810,53005010815,53005010816,53005010819,53005010820,53005010901,53005010902,53005011001,53005011002,53005011100,53005011201,53005011202,53005011300,53005011401,53005011402,53005011504,53005011505,53021020101,53021020102,53021020103,53021020201,53021020202,53021020300,53021020401,53021020402,53021020403,53021020404,53021020501,53021020503,53021020504,53021020603,53021020605,53021020606,53021020607,53021980100"
461,53075000700
113,"53057940201,53057940301,53057940302,53057940401,53057940402,53057940403,53057940500,53057940600,53057940700,53057940802,53057950100,53057990100"
316,53047970301
59,53041970100
323,53025010300
140,"53033025601,53033025602,53033025702,53033025703,53033025704,53033025803,53033025804,53033025805,53033025806,53033029203,53033029207,53033029208,53033029304,53033029305,53033029306,53033029307,53033029308,53033029309,53033029403,53033029405,53033029406,53033029407,53033029408,53033029504,53033029505,53033029506,53033029507,53033029508,53033029602,53033029603,53033029604,53033029701,53033029702,53033030503,53033030504,53033030600,53033030700,53033030802,53033031000,53033031101,53033031102,53033031204,53033031206,53033031207,53033031208,53033031601,53033031604,53033031605,53033031704,53033031705,53033031707,53033031708,53033031709,53033031710,53033031800,53033031904,53033031906,53033031908,53033031909,53033031910,53033031911,53033031912,53033031913,53033032002,53033032005,53033032006,53033032007,53033032008,53033032010,53033032011"
6,53031990000
179,"53039950301,53039950302"
387,"53071920200,53071920400,53071920500,53071920600,53071920701,53071920702,53071920801,53071920802,53071920901,53071920902"
158,"53033032401,53061052203,53061052206,53061052207,53061052208,53061052210,53061053802"
164,53059950400
94,"53031950202,53031950301,53035090300"
22,53027940000
103,53015001800
123,"53053061300,53053061400,53053061501,53053061601,53053061602,53053061700,53053061800,53053061900,53053062000,53053062300,53053062400,53053062501,53053062502,53053063100,53053063200,53053063301,53053063302,53053063401,53053063402,53053063501,53053063502,53053070703,53053071100,53053071205,53053071206,53053071207,53053071209,53053071210,53053071211,53053071212,53053071304,53053071305,53053071306,53053071307,53053071309,53053071310,53053071403,53053071408,53053071409,53053071411,53053071412,53053071413,53053071414,53053071415,53053071416,53053071417,53053071503,53053071504,53053071505,53053071506,53053071601,53053071603,53053071604,53053071705,53053071707,53053073110,53053073111,53053073114,53053073115,53053073118,53053073120,53053073121,53053073122,53053073123,53053073124,53053073126,53053073127,53053073128,53053073129,53053073130,53053073131,53053073132,53053073133,53053073301,53053073302,53053073404,53053073405,53053073406,53053073407,53053073408,53053073501,53053073502,53053940002,53053940004,53053940006,53053940007,53053940009,53053940010,53053940012,53053940013"
367,53043960300
21,"53027000202,53027990000"
346,53005011501
192,53073010103
314,"53047970500,53047970601,53047970602"
217,"53037975102,53037975103,53037975104,53037975201"
20,"53027000201,53027001601"
195,53039950200
50,"53027000402,53027000700"
129,"53057950801,53057950802,53057950803,53057951400,53057951502,53057951600,53057951700,53057951800,53057951900,53057952100,53057952200,53057952301,53057952303,53057952304,53057952401,53057952403,53057952404,53057952405,53057952500,53057952600"
117,"53011040504,53011040511,53011040603"
98,"53055960101,53055960102,53073010900"
38,53049950400
62,"53045940000,53045960100"
308,"53025010700,53025011200"
454,53051970200
306,53025011406
336,53025011002
348,53021020802
318,"53005010201,53005010204,53005010300,53005010400,53005010500,53005010701,53005010703,53005010705,53005010707,53005010708,53005010807,53005010811,53005010814,53005010817,53005010818"
191,53057951102
91,"53045961101,53053072603,53067010100,53067010200,53067010300,53067011200,53067011500,53067011627,53067012100,53067012211,53067012221,53067012223,53067012224,53067012225,53067012226,53067012330,53067012332,53067990100"
187,53033032800
132,53059950200
230,53077002801
460,"53075000100,53075000201,53075000202,53075000400,53075000500,53075000601,53075000602"
190,53061053700
131,"53073010201,53073010202,53073010302,53073010303,53073010701"
92,"53035092101,53035092901,53045960302,53045960401,53045960402,53045960403,53053072601,53053072602"
30,"53027001100,53027001200,53027001300,53027001400,53027001500,53027001602"
86,"53015001503,53015001504,53015001601,53015001602"
333,53021020608
452,"53051970400,53063010201,53063010304"
227,53039950103
232,"53037975203,53077003004"
330,53047970302
331,53005011506
327,53047940200
355,53047940100
313,53047970700
61,"53027000600,53045960202,53045961300"
169,53053070100
450,"53063000201,53063000202,53063000301,53063000302,53063000400,53063000500,53063000600,53063000700,53063001100,53063001200,53063001300,53063001400,53063001500,53063001600,53063001800,53063001900,53063002000,53063002100,53063002300,53063002400,53063002501,53063002502,53063002503,53063002600,53063002900,53063003000,53063003100,53063003200,53063003500,53063003602,53063003900,53063004001,53063004002,53063004100,53063004200,53063004300,53063004400,53063004500,53063004601,53063004602,53063004701,53063004702,53063004800,53063004900,53063005000,53063011301,53063011302,53063011500,53063011600,53063011701,53063011702,53063011900,53063012000,53063012100,53063012200,53063012300,53063012401,53063012500,53063012600,53063012801,53063012802,53063013401,53063013502,53063013503,53063014400,53063014500"
125,"53033000700,53033000800,53033000900,53033001000,53033001100,53033001201,53033001202,53033001300,53033001400,53033001500,53033001600,53033001701,53033001702,53033001800,53033001900,53033002000,53033002100,53033002200,53033002400,53033002500,53033002600,53033002700,53033002800,53033002900,53033003000,53033003100,53033003201,53033003202,53033003301,53033003302,53033003400,53033003500,53033003601,53033003602,53033003800,53033003900,53033004000,53033004101,53033004102,53033004201,53033004202,53033004301,53033004302,53033004401,53033004402,53033004500,53033004600,53033004701,53033004702,53033004703,53033004800,53033004901,53033004902,53033005000,53033005100,53033005201,53033005202,53033005303,53033005304,53033005305,53033005306,53033005307,53033005401,53033005402,53033005600,53033005700,53033005801,53033005803,53033005804,53033005901,53033005902,53033006000,53033006100,53033006200,53033006300,53033006400,53033006500,53033006600,53033006701,53033006702,53033006703,53033006800,53033006900,53033007001,53033007002,53033007101,53033007102,53033007201,53033007202,53033007203,53033007301,53033007302,53033007303,53033007403,53033007404,53033007405,53033007406,53033007501,53033007502,53033007503,53033007600,53033007700,53033007800,53033007901,53033007902,53033008002,53033008003,53033008004,53033008101,53033008102,53033008200,53033008300,53033008401,53033008402,53033008500,53033008600,53033008700,53033008800,53033008900,53033009000,53033009100,53033009200,53033009300,53033009400,53033009500,53033009600,53033009701,53033009702,53033009801,53033009802,53033009900,53033010001,53033010002,53033010101,53033010102,53033010200,53033010301,53033010302,53033010401,53033010402,53033010501,53033010502,53033010601,53033010602,53033010701,53033010702,53033010800,53033010900,53033011001,53033011002,53033011101,53033011102,53033011200,53033011300,53033011401,53033011402,53033011500,53033011601,53033011602,53033011700,53033011801,53033011802,53033011901,53033011902,53033012000,53033012100,53033022300,53033024200,53033024301,53033024302,53033026001,53033026102,53033026300,53033026400,53033026500,53033026600,53033026700,53033026801,53033026802,53033027000,53033027100,53033990100"
283,53047971000
307,53025011405
451,"53063010203,53063010305,53063010504,53063010505,53063010506,53063010507,53063010701,53063010702,53063010800,53063010901,53063010902,53063011000,53063011102,53063011103,53063011104,53063011202,53063011203,53063011204"
263,53037975300
317,53005011600
249,53007960502
160,"53057951200,53061053506"
150,53059950100
90,"53067010400,53067010700,53067010801,53067010802,53067011300,53067011410,53067011421,53067011422,53067011622,53067011623,53067011624,53067011625,53067011626,53067011628,53067011720,53067011721,53067011722,53067011821,53067012320,53067012331,53067012420,53067012530,53067012610,53067012620"
145,"53057950900,53057951300,53057951501,53057951503"
106,"53053073001,53067012412,53067012421,53067012422,53067012531,53067012532"
124,"53033026003,53033026101,53033026200,53033027200,53033027300,53033027400,53033027500,53033027600,53033027800,53033027901,53033027902,53033028000,53033028100,53033028200,53033028300,53033028402,53033028403,53033028500,53033028600,53033028700,53033028801,53033028802,53033028901,53033028902,53033029001,53033029003,53033029004,53033029101,53033029102,53033029205,53033029206,53033029803,53033029804,53033029805,53033029806,53033029901,53033029902,53033030003,53033030005,53033030006,53033030007,53033030008,53033030101,53033030102,53033030201,53033030203,53033030204,53033030304,53033030305,53033030306,53033030308,53033030309,53033030310,53033030311,53033030312,53033030313,53033030314,53033030403,53033030404,53033030405,53033030406,53033030407,53033030501,53033030801,53033030901,53033030902,53053060200,53053060600,53053061502,53053940001,53053940005,53053940008,53053940011"
96,"53029970401,53029970500,53029971000,53031950502"
109,"53035080101,53035080102,53035080200,53035080300,53035080400,53035080500,53035080600,53035080700,53035081000,53035081100,53035081200,53035081400,53035090400,53035090700,53035090800,53035090901,53035090902,53035091001,53035091002,53035091100,53035091204,53035091205,53035091206,53035091500,53035091600,53035091701,53035091702,53035091800,53035091900,53035092200,53035092300,53035092400,53035092500,53035092600,53035092701,53035092704"
335,"53001950302,53001950400,53001950500,53025011300"
427,53065950101
235,53007960201
260,"53077001702,53077002201,53077002202,53077940002,53077940005,53077940006"
147,"53073010101,53073010102"
458,53003960100
416,53013960200
373,"53071920301,53071920302"
321,53025011401
281,"53007960302,53007960303,53007960400"
322,"53025010800,53025010901,53025010903,53025010904,53025011001,53025011101,53025011102"
40,"53027000800,53027000900,53027001000"
464,"53063011400,53063011800,53063012402,53063012701,53063012702,53063012901,53063012902,53063013001,53063013002,53063013003,53063013101,53063013102,53063013201,53063013203,53063013204,53063013205,53063013300"
325,53017950102
